Pulse,Dose1,Dose2
504,2637279,1569951
505,2637024,1569877
506,2602445,1549236
507,2637824,1570197
508,2637742,1570170
509,2637470,1569875
510,2603521,1549842
511,2636453,1569412
512,2638319,1570782
513,2603613,1550260
514,2637060,1570273
515,2639329,1571443
516,2603421,1549861
517,2637828,1570304
518,2638238,1570521
519,2637999,1570194
520,2603364,1549631
521,2637765,1569938
522,2637958,1570205
523,2604297,1550381
524,2637484,1570249
525,2637629,1570525
526,2638815,1571520
527,2604298,1550703
528,2637320,1570357
529,2637508,1570602
530,2603242,1550139
531,2637999,1570920
532,2637333,1570510
533,2601841,1549618
534,2637873,1571134
535,2637264,1570732
536,2637678,1571091
537,2602408,1550104
538,2636742,1570199
539,2636658,1570292
540,2602906,1549946
541,2636897,1570003
542,2637988,1570639
543,2636160,1569618
544,2601693,1549109
545,2636796,1570085
546,2637129,1570169
547,2601714,1549117
548,2637419,1570326
549,2636937,1569747
550,2600704,1548281
551,2637210,1570039
552,2637123,1569984
553,2637225,1569967
554,2602529,1549257
555,2637695,1570377
556,2636441,1569520
557,2602690,1549401
558,2637302,1570034
559,2637662,1570173
560,2637695,1570144
561,2603441,1549803
562,2638198,1570524
563,2637379,1570209
564,2603463,1550116
565,2637706,1570628
566,2638219,1570822
567,2603104,1549781
568,2638116,1570445
569,2638813,1570787
570,2637708,1569918
571,2603825,1549684
572,2638246,1570088
573,2638237,1570351
574,2603166,1549588
575,2638112,1570575
576,2637772,1570636
577,2638765,1571292
578,2602806,1549819
579,2639111,1571387
580,2637208,1570085
581,2602323,1549246
582,2637829,1570609
583,2637074,1570220
584,2602801,1550051
585,2637162,1570687
586,2638135,1571324
587,2636809,1570631
588,2602394,1549872
589,2636656,1570164
590,2637735,1570855
591,2601948,1549326
592,2637688,1570450
593,2637340,1570147
594,2636520,1569618
595,2601689,1549002
596,2637665,1570471
597,2618609,1559137
598,2602556,1549509
599,2636675,1569743
600,2637495,1569937
601,2600759,1547850
602,2637585,1569923
603,2636784,1569263
604,2637625,1569956
605,2602514,1548706
606,2636487,1568951
607,2637484,1569644
608,2602702,1548951
609,2637168,1569494
610,2637302,1569518
611,2638036,1570007
612,2602055,1548639
613,2638280,1570514
614,2637777,1570361
615,2603977,1550421
616,2636392,1569663
617,2639894,1571783
618,2603037,1549763
619,2637979,1570511
620,2638234,1570628
621,2638446,1570590
622,2603934,1550023
623,2638346,1570352
624,2637570,1570172
625,2603070,1549724
626,2638359,1570775
627,2637744,1570623
628,2638461,1571181
629,2603945,1550366
630,2637731,1570585
631,2638117,1570659
632,2602071,1549049
633,2637846,1570549
634,2636957,1570193
635,2602739,1549978
636,2638341,1571398
637,2636797,1570470
638,2637105,1570517
639,2602628,1549899
640,2637257,1570463
641,2637440,1570646
642,2601932,1549173
643,2637605,1570334
644,2636552,1569659
645,2637154,1570067
646,2601148,1548668
647,2637940,1570444
648,2636305,1569436
649,2602445,1549298
650,2636994,1569878
651,2636656,1569306
652,2600659,1547709
653,2637847,1569864
654,2636718,1569316
655,2637571,1569724
656,2601873,1548510
657,2637286,1569651
658,2637605,1569571
659,2601726,1548500
660,2638147,1570271
661,2637238,1569804
662,2637797,1570066
663,2603171,1549356
664,2637984,1570283
665,2636849,1569677
666,2604000,1550418
667,2638394,1571000
668,2638071,1570710
669,2603261,1549891
670,2638112,1570515
671,2637604,1570274
672,2638926,1570917
673,2603394,1549853
674,2638311,1570523
675,2637756,1570361
676,2603676,1549976
677,2637348,1570185
678,2638598,1571049
679,2638102,1570933
680,2603833,1550429
681,2637562,1570356
682,2638277,1570742
683,2602117,1549167
684,2638328,1570902
685,2637968,1570747
686,2601672,1549221
687,2637680,1570901
688,2637455,1570770
689,2636945,1570434
690,2601864,1549341
691,2638000,1570763
692,2636877,1570180
693,2601806,1549399
694,2637187,1570390
695,2636612,1570115
696,2637260,1570543
697,2601925,1549436
698,2637481,1570445
699,2636527,1569769
700,2602577,1549564
701,2636806,1569835
702,2636940,1569716
703,2600940,1548116
704,2636937,1569422
705,2637528,1569831
706,2637057,1569693
707,2602098,1548942
708,2637591,1570091
709,2636665,1569692
710,2602546,1549222
711,2637649,1570221
712,2638192,1570480
713,2637217,1569621
714,2603206,1549484
715,2637558,1569973
716,2638157,1570435
717,2602397,1549434
718,2638615,1571034
719,2639013,1571311
720,2602461,1549435
721,2638754,1570953
722,2638185,1570631
723,2637755,1570295
724,2603339,1549799
725,2638129,1570329
726,2637902,1570437
727,2603750,1550110
728,2637297,1570171
729,2637715,1570735
730,2638946,1571596
731,2603724,1550445
732,2637850,1570730
733,2638951,1571334
734,2601661,1548944
735,2638348,1571055
736,2638202,1570957
737,2601960,1549435
738,2637364,1570573
739,2637289,1570813
740,2636913,1570656
741,2601880,1549500
742,2637779,1570704
743,2637164,1570409
744,2601354,1549191
745,2637324,1570611
746,2636649,1570202
747,2637441,1570732
748,2601572,1549413
749,2637224,1570501
750,2637253,1570373
751,2601882,1549454
752,2636873,1570122
753,2636610,1569492
754,2600976,1548224
755,2638121,1570328
756,2636231,1569046
757,2638041,1569944
758,2601872,1548344
759,2637227,1569408
760,2638037,1569771
761,2601650,1548311
762,2637856,1570001
763,2637433,1569828
764,2637694,1569899
765,2603517,1549524
766,2637506,1569910
767,2637518,1570062
768,2603723,1550138
769,2638150,1570673
770,2638403,1570848
771,2603095,1549634
772,2638040,1570398
773,2638721,1570739
774,2637308,1569800
775,2603340,1549686
776,2638904,1570649
777,2638105,1570174
778,2603491,1549550
779,2637355,1569907
780,2637926,1570448
781,2638415,1571118
782,2603903,1550671
783,2638120,1570770
784,2638576,1570916
785,2601404,1548751
786,2638142,1570874
787,2605317,1551298
788,2600820,1548673
789,2638226,1571002
790,2636905,1570591
791,2637329,1570917
792,2601798,1549487
793,2637521,1570573
794,2637252,1570396
795,2602108,1549484
796,2638103,1570656
797,2635894,1569315
798,2637445,1570220
799,2602532,1549398
800,2636206,1569488
801,2636542,1569730
802,2602558,1549430
803,2636695,1569699
804,2636481,1569475
805,2600715,1548223
806,2637715,1570168
807,2637732,1570134
808,2637211,1569636
809,2602487,1548845
810,2636600,1568984
811,2637728,1569653
812,2602293,1548467
813,2637582,1569228
814,2637397,1569115
815,2637860,1569358
816,2602895,1548549
817,2637625,1569411
818,2638014,1569819
819,2602853,1549243
820,2638792,1570675
821,2637750,1570160
822,2603982,1550115
823,2637304,1569865
824,2638630,1570651
825,2638172,1570186
826,2603310,1549585
827,2638358,1570273
828,2638250,1570391
829,2603215,1549613
830,2637997,1570482
831,2637533,1570373
832,2638049,1570952
833,2604015,1550743
834,2638916,1571437
835,2636931,1569957
836,2602570,1549449
837,2638141,1570679
838,2638019,1570704
839,2601595,1549099
840,2637404,1570467
841,2637342,1570560
842,2636970,1570359
843,2602505,1549820
844,2637252,1570369
845,2637968,1571043
846,2601036,1548949
847,2637399,1570616
848,2637093,1570485
849,2636509,1570210
850,2601966,1549641
851,2637177,1570637
852,2637016,1570393
853,2601639,1549322
854,2636897,1570376
855,2638202,1570858
856,2599863,1547561
857,2637519,1569894
858,2637261,1569423
859,2637507,1569694
860,2601865,1548228
861,2637890,1569720
862,2631209,1565789
